Pick,MLS team,Player,Position,College,Other,year,PDL or NPSL affiliation,Signed,Pos.,Conference,Club team,Academy team,Amateur team
39,New York Red Bulls,Tom Barlow,Forward,Wisconsin,,2018,Chicago FC United, New York Red Bulls II,,,,,
40,LA Galaxy [R2 trade 9],Drew Skundrich,Midfielder,Stanford,,2018,Burlingame Dragons FC, Bethlehem Steel,,,,,
41,Minnesota United FC [R2 trade 10],Xavier Gomez,Forward,Omaha,,2018,, Chicago FC United,,,,,
42,New York City FC,A. J. Paterson,Midfielder,Wright State,,2018,SW Florida Adrenaline, Bethlehem Steel,,,,,
43,Houston Dynamo,Mac Steeves,Forward,Providence,,2018,FC Boston, Houston Dynamo,,,,,
44,Columbus Crew SC,Jake Rozhansky,Midfielder,Maryland,,2018,D.C. United U-23, Maccabi Netanya,,,,,
45,Seattle Sounders FC,Markus Fjørtoft,Defender,Duke,,2018,New York Red Bulls U-23, Southern United,,,,,
46,Toronto FC,Drew Shepherd,Goalkeeper,Western Michigan,,2018,Michigan Bucks, Toronto FC II,,,,,
1,FC Cincinnati,Frankie Amaya,,UCLA,,2019,, FC Cincinnati,MF,Pac-12,,,
2,San Jose Earthquakes,Siad Haji,,VCU,,2019,, San Jose Earthquakes,MF,Atlantic 10,Portland Timbers U23s,,
3,Orlando City SC,Santiago Patiño,,FIU,,2019,, Orlando City SC,FW,C-USA,Seattle Sounders FC U-23,,
4,FC Dallas [R1 trade 1],Callum Montgomery,,Charlotte,,2019,, FC Dallas,DF,C-USA,Victoria Highlanders,,
5,Colorado Rapids [R1 trade 2],Andre Shinyashiki,,Denver,,2019,, Colorado Rapids,FW,Summit,Colorado Rapids U-23,,
6,Toronto FC,Griffin Dorsey,,Indiana,,2019,, Toronto FC,FW,Big Ten,Colorado Rapids U-23,,
7,Minnesota United FC,Dayne St. Clair,,Maryland,,2019,, Minnesota United,GK,Big Ten,New York Red Bulls U-23,,
8,Houston Dynamo,Sam Junqua,,California,,2019,, Houston Dynamo,DF,Pac-12,San Francisco Glens,,
9,New England Revolution,Tajon Buchanan,,Syracuse,,2019,, New England Revolution,FW,ACC,,,
10,FC Dallas [R1 trade 3],John Nelson,,North Carolina,,2019,, FC Dallas,DF,ACC,Tobacco Road FC,,
11,New England Revolution [R1 trade 4],DeJuan Jones,,Michigan State,,2019,, New England Revolution,MF,Big Ten,Lansing United,,
12,New York City FC [R1 trade 5],Luis Barraza,,Marquette,,2019,, New York City FC,GK,Big East,Chicago FC United,,
13,FC Cincinnati [R1 trade 6],Logan Gdula,,Wake Forest,,2019,, FC Cincinnati,DF,ACC,Carolina Dynamo,,
14,D.C. United,Akeem Ward,,Creighton,,2019,, D.C. United,DF,Big East,Chicago FC United,,
15,Minnesota United FC [R1 trade 7],Chase Gasper,,Maryland,,2019,, Minnesota United FC,DF,Big Ten,FC Golden State Force,,
16,New York Red Bulls [R1 trade 8],Roy Boateng,,UC Davis,,2019,, New York Red Bulls II (II Division),DF,Big West,San Francisco Glens,,
17,Real Salt Lake,Sam Brown,,Harvard,,2019,, Real Monarchs (II Division),MF,Ivy,Portland Timbers U23s,,
18,Columbus Crew SC,J. J. Williams,,Kentucky,,2019,, Columbus Crew SC,FW,C-USA,Dayton Dutch Lions,,
19,LA Galaxy [R1 trade 9],Emil Cuello,,SMU,,2019,, LA Galaxy,MF,American,Ocean City Nor'easters,,
20,Seattle Sounders FC,Tucker Bone,,Air Force,,2019,, Colorado Springs Switchbacks (II Division),MF,WAC,Colorado Pride Switchbacks U23,,
21,Sporting Kansas City,Kamar Marriott,,Florida Gulf Coast,,2019,,,DF,Atlantic Sun,Seattle Sounders FC U-23,,
22,New York Red Bulls,János Löbe,,Fordham,,2019,, New York Red Bulls II (II Division),FW,Atlantic 10,New York Red Bulls U-23,,
23,Portland Timbers,Ryan Sierakowski,,Michigan State,,2019,,Portland Timbers 2 (II Division),FW,Big Ten,Chicago FC United,,
24,Atlanta United FC,Anderson Asiedu,,UCLA,,2019,, Atlanta United FC,MF,Pac-12,FC Golden State Force,,
25,New York Red Bulls [R2 trade 1],Sean Nealis,,Hofstra,,2019,, New York Red Bulls,DF,CAA,Westchester Flames,,
26,San Jose Earthquakes,Sergio Rivas,,Seattle,,2019,,Reno 1868 (II Division),MF,WAC,Albuquerque Sol,,
27,Orlando City SC,Kamal Miller,,Syracuse,,2019,, Orlando City SC,DF,ACC,Reading United,,
28,Colorado Rapids,Marcello Borges,,Michigan,,2019,, Detroit City FC (IV Division),DF,Big Ten,Michigan Bucks,,
29,FC Cincinnati [R2 trade 2],Tommy McCabe,,Notre Dame,,2019,, FC Cincinnati,MF,ACC,Baltimore Bohemians,,
30,FC Cincinnati [R2 trade 3],Jimmy Hague,,Michigan State,,2019,, FC Cincinnati,GK,Big Ten,Michigan Bucks,,
31,Minnesota United FC,Hassani Dotson,,Oregon State,,2019,, Minnesota United FC,MF,Pac-12,Lane United,,
32,New York Red Bulls [R2 trade 4],Rece Buckmaster,,Indiana,,2019,, New York Red Bulls II (II Division),DF,Big Ten,Chicago Fire U-23,,
33,Houston Dynamo [R2 trade 5],Andrew Samuels,,Maryland,,2019,, RGVFC Toros (II Division),DF,Big Ten,Tampa Bay Rowdies U23,,
34,Montreal Impact,Amar Sejdič,,Maryland,,2019,, Montreal Impact,MF,Big Ten,Derby City Rovers,,
35,Vancouver Whitecaps FC,Brendan McDonough,,Georgetown,,2019,, Vancouver Whitecaps FC,DF,Big East,,,
36,LA Galaxy,Don Tchilao,,Oregon State,,2019,, LA Galaxy II (II Division),MF,Pac-12,Portland Timbers U23s,,
37,FC Cincinnati [R2 trade 6],Ben Lundt,,Akron,,2019,, FC Cincinnati,GK,MAC,Reading United,,
38,Orlando City SC [R2 trade 7],Tommy Madden,,Charlotte,,2019,, New Mexico United (II Division),MF,C-USA,,,
39,Toronto FC [R2 trade 8],Adam Wilson,,Louisville,,2019,,,MF,ACC,Cincinnati Dutch Lions,,
40,Los Angeles FC,Peter-Lee Vassell,,,,2019,, Los Angeles FC,MF,,Harbour View,,
41,Real Salt Lake,Kyle Coffee,,Washington,,2019,, Real Monarchs (II Division),FW,Pac-12,Portland Timbers U23s,,
42,Colorado Rapids [R2 trade 9],Jacob Hauser-Ramsey,,Connecticut,,2019,,Memphis 901 (II Division),DF,American,Myrtle Beach Mutiny,,
43,New York City FC,Abdi Mohamed,,Akron,,2019,, New York City FC,DF,MAC,,,
44,Seattle Sounders FC,Joel Rydstrand,,Creighton,,2019,, Tacoma Defiance (II Division),MF,Big East,Lane United,,
45,Sporting Kansas City,Camden Riley,,Pacific,,2019,, Swope Park Rangers (II Division),MF,WCC,Portland Timbers U23s,,
46,San Jose Earthquakes [R2 trade 10],Mamadi Camara,,Simon Fraser,,2019,, Colorado Springs Switchbacks (II Division),FW,GNAC (DII),Calgary Foothills,,
47,Portland Timbers,Lennart Hein,,Saint Louis,,2019,, Carshalton Athletic,DF,Atlantic 10,Saint Louis Club Atletico,,
48,Atlanta United FC,Amir Bashti,,Stanford,,2019,, San Francisco Glens (IV Division),FW,Pac-12,Burlingame Dragons,,
1,Inter Miami,Robbie Robinson,,Clemson,,2020,,Inter Miami[6],FW,ACC,,Charleston Battery,
2,Nashville SC,Jack Maher,,Indiana,,2020,,Nashville SC[7],DF,Big Ten,,Saint Louis FC,Saint Louis FC U23
3,Inter Miami [R1 trade 1],Dylan Nealis,,Georgetown,,2020,,Inter Miami[9],MF,Big East,,BW Gottschee,Long Island Rough Riders
4,Vancouver Whitecaps FC,Ryan Raposo,,Syracuse,,2020,,Vancouver Whitecaps[10],MF,ACC,,Vaughan SC,Vaughan Azzurri
5,Orlando City,Daryl Dike,,Virginia,,2020,,Orlando City[11],FW,ACC,,OKC Energy,OKC Energy U23
6,New England Revolution [R1 trade 2],Henry Kessler,,Virginia,,2020,,New England Revolution[13],DF,ACC,,New York Red Bulls,Charlottesville Alliance
7,Columbus Crew,Miguel Berry,,San Diego,,2020,,Columbus Crew[14],FW,WCC,,San Diego Surf,Orange County SC U-23
8,Houston Dynamo,Garrett McLaughlin,,SMU,,2020,,Rio Grande Valley FC[15],FW,American,,Oklahoma FC 97,OKC Energy U23
9,Montreal Impact,Jeremy Kelly,,North Carolina,,2020,,Colorado Rapids[16],MF,ACC,,Carolina RailHawks,North Carolina FC U23
10,New York Red Bulls [R1 trade 3],Patrick Seagrist,,Marquette,,2020,,New York Red Bulls[18],DF,Big East,,Sockers FC,Chicago FC United
11,Nashville SC [R1 trade 4],Alistair Johnston,,Wake Forest,,2020,,Nashville SC[20],MF,ACC,,Vaughan SC,Vaughan Azzurri
12,San Jose Earthquakes,Tanner Beason,,Stanford,,2020,,San Jose Earthquakes[21],DF,Pac-12,,North Carolina Fusion,San Francisco City
13,Nashville SC [R1 trade 5],Elliot Panicco,,Charlotte,,2020,,Nashville SC[20],GK,C-USA,,Carolina Rapids,
14,FC Dallas,Nkosi Burgess,,Seattle,,2020,,FC Dallas[22],DF,WAC,,Dix Hills Heat,
15,New York Red Bulls,Cherif Dieye,,Louisville,,2020,,New York Red Bulls II[23],MF,ACC,,IMG Academy,
16,Portland Timbers,Aaron Molloy,,Penn State,,2020,,Portland Timbers 2[24],MF,Big Ten,,Bohemians,Reading United
17,FC Dallas [R1 trade 6],Cal Jennings,,UCF,,2020,,Memphis 901[26],FW,American,,Georgia United,
18,Minnesota United,Noah Billingsley,,UC Santa Barbara,,2020,,Minnesota United[27],DF,Big West,,Waitakere United,
19,Toronto FC [R1 trade 7],Nyal Higgins,,Syracuse,,2020,,Toronto FC II[29],DF,ACC,,Ajax Soccer Club,Vaughan Azzurri
20,Real Salt Lake,Dayonn Harris,,UConn,,2020,,Real Monarchs[30],MF,American,,Vaughan Azzurri,Vaughan Azzurri
21,D.C. United [R1 trade 8],Simon Lefebvre,,Temple,,2020,,Loudoun United[32],GK,American,,Girondins de Bordeaux,Reading United
22,New York City FC,Jesús Pérez,,UIC,,2020,,Tacoma Defiance[33],MF,Horizon,,Chicago Fire,Chicago FC United
23,Atlanta United FC,Patrick Nielsen,,Michigan State,,2020,,Atlanta United 2[34],DF,Big Ten,,Hvidovre IF,Flint City Bucks
24,Los Angeles FC,Paulo Pita,,Marshall,,2020,,North Carolina FC[35],GK,C-USA,,Oklahoma FC 97,FC Wichita
25,Toronto FC,Ifunanyachi Achara,,Georgetown,,2020,,Toronto FC[36][37],FW,Big East,,Chicago Magic PSG,Black Rock FC
26,Chicago Fire [R1 trade 9],Jonathan Jimenez,,Pacific,,2020,,Rio Grande Valley FC[39],DF,WCC,,,Portland Timbers U23
27,San Jose Earthquakes [R2 trade 1],Jack Skahan,,North Carolina,,2020,,San Jose Earthquakes[41],MF,ACC,,Philadelphia Union,North Carolina FC U23
28,Nashville SC,Tanner Dieterich,,Clemson,,2020,,Nashville SC[20],MF,ACC,,Real Salt Lake AZ,Nashville SC U23
29,FC Cincinnati,Rey Ortiz,,Portland,,2020,,FC Cincinnati[42],FW,WCC,,LA Galaxy,Portland Timbers U23s
30,New England Revolution [R2 trade 2],Simon Lekressner,,California,,2020,,New England Revolution II[44],DF,Pac-12,,Crossfire Premier,San Francisco Glens
31,Orlando City,Joey DeZart,,Wake Forest,,2020,,Orlando City[45],MF,ACC,,Philadelphia Union,Reading United
32,Vancouver Whitecaps FC [R2 trade 3],Daniel Gagliardi,,FIU,,2020,,Fort Lauderdale CF[47],GK,C-USA,,Kendall SC,IMG Academy Bradenton
33,Toronto FC [R2 trade 4],Malick Mbaye,,Clemson,,2020,,North Carolina FC[48],DF,ACC,,SIMA - Montverde Academy,Greenville FC
34,Houston Dynamo,Luka Prpa,,Marquette,,2020,,Rio Grande Valley FC[15],MF,Big East,,Chicago Magic PSG,Chicago FC United
35,Seattle Sounders FC [R2 trade 5],Danny Reynolds,,UNC Wilmington,,2020,,Tacoma Defiance[50],DF,CAA,,Cheltenham Town,Brazos Valley Cavalry
36,New York Red Bulls [R2 trade 6],Wallis Lapsley,,UC Davis,,2020,,New York Red Bulls II[52],GK,Big West,,Seattle United,Des Moines Menace
37,Colorado Rapids [R2 trade 7],Robin Afamefuna,,Virginia,,2020,,,DF,ACC,,Borussia Mönchengladbach,Long Island Rough Riders
38,San Jose Earthquakes,Jon Bell,,UMBC,,2020,,New England Revolution II[55],DF,America East,,D.C. United,FC Baltimore Christos
39,Orlando City [R2 trade 8],Jonathan Dean,,UCF,,2020,,Birmingham Legion[57],DF,American,,Georgia United,
40,FC Dallas,Manuel Ferriol,,James Madison,,2020,,FC Tucson[58],MF,CAA,,Levante,Long Island Rough Riders
41,New York Red Bulls,Deri Corfe,,Wright State,,2020,,New York Red Bulls II[59],FW,Horizon,,Manchester City,Ocean City Nor'easters
42,D.C. United [R2 trade 9],Josh Fawole,,Loyola (MD),,2020,,Loudoun United[61],FW,Patriot,,Baltimore Celtic,The Villages SC
43,New England Revolution [R2 trade 10],Keegan Meyer,,High Point,,2020,, New England Revolution II,GK,Big South,,Baltimore Celtic,Ocean City Nor'easters
44,Orlando City [R2 trade 11],Austin Aviza,,Providence,,2020,,Orlando City B[64],GK,Big East,,New England Revolution,
45,LA Galaxy,Tom Smart,,Akron,,2020,,,DF,MAC,,West Bromwich Albion,FC Golden State
46,Real Salt Lake,Michael Wetungu,,Michigan State,,2020,,Real Monarchs[65],DF,Big Ten,,Vardar SC,Flint City Bucks
47,Columbus Crew [R2 trade 12],Remi Prieur,,Saint Mary's,,2020,,Sporting Kansas City II[67],GK,WCC,,San Jose Earthquakes,Portland Timbers U23s
48,New York City FC,Félicien Dumas,,Notre Dame,,2020,,Indy Eleven[68],DF,ACC,,Home United,Chicago FC United
49,Columbus Crew [R2 trade 13],Danny Griffin,,Providence,,2020,,Pittsburgh Riverhounds SC[70],MF,Big East,,Oakwood SC,
50,Los Angeles FC,Jack Hallahan,,Michigan,,2020,,PAEEK[71],MF,Big Ten,,West Bromwich Albion,AFC Ann Arbor
51,Toronto FC,Simon Wæver,,Indiana,,2020,,B.93[72],DF,Big Ten,,Lyngby BK,
52,Seattle Sounders FC,Timo Mehlich,,UNLV,,2020,,Rio Grande Valley FC[73],MF,WAC,,Borussia Mönchengladbach,OKC Energy U23
